file_name,file_path,label,category,source,aug_type,original_audio
hr10.m4a.png,spectrograms\human\hr10.m4a.png,0,human,original,none,hr10.m4a.mp3
hr10.m4a_noise.png,spectrograms\augmented\human\hr10.m4a_noise.png,0,human,augmented,noise,hr10.m4a.mp3
hr10.m4a_pitch_up.png,spectrograms\augmented\human\hr10.m4a_pitch_up.png,0,human,augmented,pitch_up,hr10.m4a.mp3
hr10.m4a_pitch_down.png,spectrograms\augmented\human\hr10.m4a_pitch_down.png,0,human,augmented,pitch_down,hr10.m4a.mp3
hr10.m4a_stretch.png,spectrograms\augmented\human\hr10.m4a_stretch.png,0,human,augmented,stretch,hr10.m4a.mp3
hr4.m4a (1).png,spectrograms\human\hr4.m4a (1).png,0,human,original,none,hr4.m4a (1).mp3
hr4.m4a (1)_noise.png,spectrograms\augmented\human\hr4.m4a (1)_noise.png,0,human,augmented,noise,hr4.m4a (1).mp3
hr4.m4a (1)_pitch_up.png,spectrograms\augmented\human\hr4.m4a (1)_pitch_up.png,0,human,augmented,pitch_up,hr4.m4a (1).mp3
hr4.m4a (1)_pitch_down.png,spectrograms\augmented\human\hr4.m4a (1)_pitch_down.png,0,human,augmented,pitch_down,hr4.m4a (1).mp3
hr4.m4a (1)_stretch.png,spectrograms\augmented\human\hr4.m4a (1)_stretch.png,0,human,augmented,stretch,hr4.m4a (1).mp3
hr4.m4a.png,spectrograms\human\hr4.m4a.png,0,human,original,none,hr4.m4a.mp3
hr4.m4a_noise.png,spectrograms\augmented\human\hr4.m4a_noise.png,0,human,augmented,noise,hr4.m4a.mp3
hr4.m4a_pitch_up.png,spectrograms\augmented\human\hr4.m4a_pitch_up.png,0,human,augmented,pitch_up,hr4.m4a.mp3
hr4.m4a_pitch_down.png,spectrograms\augmented\human\hr4.m4a_pitch_down.png,0,human,augmented,pitch_down,hr4.m4a.mp3
hr4.m4a_stretch.png,spectrograms\augmented\human\hr4.m4a_stretch.png,0,human,augmented,stretch,hr4.m4a.mp3
hr5.m4a.png,spectrograms\human\hr5.m4a.png,0,human,original,none,hr5.m4a.mp3
hr5.m4a_noise.png,spectrograms\augmented\human\hr5.m4a_noise.png,0,human,augmented,noise,hr5.m4a.mp3
